C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,MES,AÑO,CL_0,CL_5,CL_10,CL_20,CL_30,CL_40,CL_50,CL_75,CL_100
12,M24,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,1.055,0.625,,,,,
12,M24N,1,CRUCERO 1,2007/02/13,FEBRERO,2007,,,0.58,0.84,,,,,
12,M25,1,CRUCERO 1,2007/02/22,FEBRERO,2007,,,0.556,0.942,,,,,
12,M25N,1,CRUCERO 1,2007/02/11,FEBRERO,2007,,,0.84,0.51,,,,,
12,M26,1,CRUCERO 1,2007/02/22,FEBRERO,2007,,,0.764,0.737,,,,,
12,M27,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.513,0.572,,,,,
12,M28,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.543,0.453,,,,,
12,M29,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.265,0.339,,,,,
12,M30,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.343,0.262,,,,,
12,M31,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.285,0.292,,,,,
12,M32,1,CRUCERO 1,2007/02/22,FEBRERO,2007,,,0.377,0.428,,,,,
12,M33,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.561,0.635,,,,,
12,M34,1,CRUCERO 1,2007/02/20,FEBRERO,2007,,,0.569,0.425,,,,,
12,M35,1,CRUCERO 1,2007/02/20,FEBRERO,2007,,,0.258,0.377,,,,,
12,M36,1,CRUCERO 1,2007/02/18,FEBRERO,2007,,,0,0.052,,,,,
12,M37,1,CRUCERO 1,2007/02/18,FEBRERO,2007,,,0.22,0.21,,,,,
12,M38,1,CRUCERO 1,2007/02/19,FEBRERO,2007,,,0.15,0.19,,,,,
12,M39,1,CRUCERO 1,2007/02/19,FEBRERO,2007,,,0.162,0.051,,,,,
12,M40,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.51,0.39,,,,,
12,M41,1,CRUCERO 1,2007/02/21,FEBRERO,2007,,,0.7,0.64,,,,,
12,M42,1,CRUCERO 1,2007/02/20,FEBRERO,2007,,,1.46,0.64,,,,,
12,M43,1,CRUCERO 1,2007/02/22,FEBRERO,2007,,,0.77,0.52,,,,,
12,M44,1,CRUCERO 1,2007/02/22,FEBRERO,2007,,,0.49,0.73,,,,,
12,M45,1,CRUCERO 1,2007/02/22,FEBRERO,2007,,,0.63,0.42,,,,,
12,M46,1,CRUCERO 1,2007/02/22,FEBRERO,2007,,,0.53,1.26,,,,,
11,A01,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,0.65125,0.570833333,,,,,
11,A02,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,3.42,4.29825,,,,,
11,A04,1,CRUCERO 10,2007/02/17,FEBRERO,2007,,,1.4575,1.39,,,,,
11,A05,1,CRUCERO 10,2007/02/17,FEBRERO,2007,,,1.743888889,1.101666667,,,,,
11,A06,1,CRUCERO 10,2007/02/18,FEBRERO,2007,,,2.432857143,2.116666667,,,,,
11,A07,1,CRUCERO 10,2007/02/18,FEBRERO,2007,,,0.628541667,0.535,,,,,
11,A08,1,CRUCERO 10,2007/02/18,FEBRERO,2007,,,2.57,2.044166667,,,,,
11,A09,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,2.996666667,1.165833333,,,,,
11,A10,1,CRUCERO 10,2007/02/18,FEBRERO,2007,,,4.607916667,0.720833333,,,,,
11,A11,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,4.596666667,4.124166667,,,,,
11,A12,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,1.593333333,0.6775,,,,,
11,A13,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,1.316666667,0.428333333,,,,,
11,A14,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,1.894166667,0.542916667,,,,,
11,A15,1,CRUCERO 10,2007/02/19,FEBRERO,2007,,,3.578541667,0.675416667,,,,,
11,A16,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,1.615333333,0.670833333,,,,,
11,A17,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,2.465,1.043333333,,,,,
11,A18,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,1.561875,0.896666667,,,,,
11,A19,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,1.175833333,0.781666667,,,,,
11,A20,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,1.958666667,1.133333333,,,,,
11,A21,1,CRUCERO 10,2007/02/20,FEBRERO,2007,,,2.409285714,1.185,,,,,
11,A22,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,2.534333333,0.600833333,,,,,
11,A23,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,2.0225,1.186666667,,,,,
11,A24,1,CRUCERO 10,2007/02/26,FEBRERO,2007,,,2.074166667,0.563333333,,,,,
11,A25,1,CRUCERO 10,2007/02/26,FEBRERO,2007,,,4.392,1.490666667,,,,,
11,A26,1,CRUCERO 10,2007/02/24,FEBRERO,2007,,,0.636666667,0.785,,,,,
11,A27,1,CRUCERO 10,2007/02/23,FEBRERO,2007,,,1.586666667,0.815,,,,,
11,A28,1,CRUCERO 10,2007/02/24,FEBRERO,2007,,,1.821794872,1.504166667,,,,,
11,A29,1,CRUCERO 10,2007/02/23,FEBRERO,2007,,,1.455694444,0.92625,,,,,
11,A30,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,3.509666667,1.335,,,,,
11,A31,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,2.969,1.47375,,,,,
11,A32,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,2.79,0.889166667,,,,,
11,A33,1,CRUCERO 10,2007/02/14,FEBRERO,2007,,,1.641666667,0.56,,,,,
11,A34,1,CRUCERO 10,2007/02/27,FEBRERO,2007,,,1.125833333,1.651666667,,,,,
11,A35,1,CRUCERO 10,2007/02/13,FEBRERO,2007,,,4.8325,4.2275,,,,,
11,A36,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,3.18452381,2.199583333,,,,,
11,A37,1,CRUCERO 10,2007/02/28,FEBRERO,2007,,,5.259791667,3.241666667,,,,,
11,A38,1,CRUCERO 10,2007/02/14,FEBRERO,2007,,,5.506785714,3.281666667,,,,,
11,A39,1,CRUCERO 10,2007/02/13,FEBRERO,2007,,,3.745416667,2.492916667,,,,,
11,A40,1,CRUCERO 10,2007/02/13,FEBRERO,2007,,,4.373125,1.330833333,,,,,
11,A41,1,CRUCERO 10,2007/02/14,FEBRERO,2007,,,2.568194444,1.539166667,,,,,
11,A42,1,CRUCERO 10,2007/02/26,FEBRERO,2007,,,3.42,2.605,,,,,
11,A43,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,2.134166667,1.1925,,,,,
11,A44,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,1.2225,0.580666667,,,,,
11,A45,1,CRUCERO 10,2007/02/26,FEBRERO,2007,,,4.484166667,2.53125,,,,,
11,A46,1,CRUCERO 10,2007/02/26,FEBRERO,2007,,,3.555,2.422916667,,,,,
11,A47,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,2.235833333,0.7475,,,,,
11,A48,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,2.71125,1.42,,,,,
11,A49,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,1.992666667,1.033333333,,,,,
11,A50,1,CRUCERO 10,2007/02/23,FEBRERO,2007,,,1.111,1.1225,,,,,
11,A51,1,CRUCERO 10,2007/02/25,FEBRERO,2007,,,2.035,0.693333333,,,,,
11,A52,1,CRUCERO 10,2007/02/23,FEBRERO,2007,,,2.5675,1.531666667,,,,,
11,A53,1,CRUCERO 10,2007/02/24,FEBRERO,2007,,,2.338,2.020833333,,,,,
11,A54,1,CRUCERO 10,2007/02/24,FEBRERO,2007,,,0.976666667,0.785,,,,,
11,A55,1,CRUCERO 10,2007/03/02,MARZO,2007,,,4.093311111,1.563029412,,,,,
11,A56,1,CRUCERO 10,2007/03/02,MARZO,2007,,,4.465,0.917928571,,,,,
11,A57,1,CRUCERO 10,2007/03/02,MARZO,2007,,,3.592333333,1.917462121,,,,,
11,A58,1,CRUCERO 10,2007/03/01,MARZO,2007,,,4.989261364,2.021597222,,,,,
11,A59,1,CRUCERO 10,2007/03/01,MARZO,2007,,,4.667454545,2.154166667,,,,,
11,A60,1,CRUCERO 10,2007/03/02,MARZO,2007,,,3.611666667,0.819404762,,,,,
10,L01,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.490625,0.413529412,,,,,
10,L02,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,0.606428571,0.77,,,,,
10,L02N1,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,0.72375,1.3495,,,,,
10,L02N2,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,3.172857143,1.9675,,,,,
10,L02N3,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,0.807142857,0.798333333,,,,,
10,L03,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.42125,0.439285714,,,,,
10,L03N1,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,0.436153846,0.914615385,,,,,
10,L04,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.445625,0.440833333,,,,,
10,L04N1,1,CRUCERO 10,2007/02/05,FEBRERO,2007,,,1.850434783,1.013125,,,,,
10,L05,1,CRUCERO 10,2007/02/06,FEBRERO,2007,,,1.894615385,,,,,,
10,L06,1,CRUCERO 10,2007/02/06,FEBRERO,2007,,,0.959090909,0.699230769,,,,,
10,L15,1,CRUCERO 10,2007/02/04,FEBRERO,2007,,,1.571578947,1.669,,,,,
10,L16,1,CRUCERO 10,2007/02/08,FEBRERO,2007,,,1.012857143,1.146470588,,,,,
10,L17,1,CRUCERO 10,2007/02/08,FEBRERO,2007,,,0.828461538,0.647272727,,,,,
10,L18,1,CRUCERO 10,2007/02/05,FEBRERO,2007,,,0.566666667,0.886666667,,,,,
10,L18N1,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.645,4.8735,,,,,
10,L18N2,1,CRUCERO 10,2007/02/05,FEBRERO,2007,,,1.039333333,0.968333333,,,,,
10,L19,1,CRUCERO 10,2007/02/05,FEBRERO,2007,,,0.899285714,0.926666667,,,,,
10,L19N1,1,CRUCERO 10,2007/02/05,FEBRERO,2007,,,1.206,,,,,,
