C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,AÑO,MES,DIRECCION,V_MS
12,M40,1,CRUCERO 1,2006/05/26,2006,MAYO,SE,0.09
12,M41,1,CRUCERO 1,2006/05/26,2006,MAYO,NE,0.13
12,M43,1,CRUCERO 1,2006/05/27,2006,MAYO,SE,2.37
12,M44,1,CRUCERO 1,2006/05/27,2006,MAYO,NE,0.43
12,M45,1,CRUCERO 1,2006/05/27,2006,MAYO,SO,0.29
12,M46,1,CRUCERO 1,2006/05/27,2006,MAYO,SO,0.24
12,M42,1,CRUCERO 1,2006/05/27,2006,MAYO,SO,0.66
10,L01,1,CRUCERO 10,2007/02/15,2007,FEBRERO,S,3.98
10,L02,1,CRUCERO 10,2007/02/16,2007,FEBRERO,S,5.08
10,L02N1,1,CRUCERO 10,2007/02/16,2007,FEBRERO,S,2.14
10,L02N2,1,CRUCERO 10,2007/02/16,2007,FEBRERO,S,5.66
10,L02N3,1,CRUCERO 10,2007/02/16,2007,FEBRERO,S,2.48
10,L03,1,CRUCERO 10,2007/02/15,2007,FEBRERO,S,5.42
10,L03N1,1,CRUCERO 10,2007/02/16,2007,FEBRERO,S,5.1
10,L04,1,CRUCERO 10,2007/02/15,2007,FEBRERO,S,3.8
10,L04N1,1,CRUCERO 10,2007/02/05,2007,FEBRERO,S,2.02
10,L05,1,CRUCERO 10,2007/02/06,2007,FEBRERO,O,4.32
10,L06,1,CRUCERO 10,2007/02/06,2007,FEBRERO,O,2.26
10,L06N1,1,CRUCERO 10,,2007,,,
10,L07,1,CRUCERO 10,2007/03/03,2007,MARZO,S,3.14
10,L08,1,CRUCERO 10,2007/03/02,2007,MARZO,S,2.74
10,L09,1,CRUCERO 10,2007/03/02,2007,MARZO,S,7.38
10,L10,1,CRUCERO 10,2007/03/02,2007,MARZO,S,4.2
10,L10N1,1,CRUCERO 10,2007/03/01,2007,MARZO,SO,0.94
10,L10N2,1,CRUCERO 10,2007/03/01,2007,MARZO,SO,2.46
10,L10N3,1,CRUCERO 10,2007/03/02,2007,MARZO,S,0.2
10,L11,1,CRUCERO 10,2007/02/28,2007,FEBRERO,NO,2.28
10,L12,1,CRUCERO 10,2007/03/01,2007,MARZO,SO,0
10,L13,1,CRUCERO 10,2007/03/01,2007,MARZO,SO,3.46
10,L14,1,CRUCERO 10,2007/03/01,2007,MARZO,SO,0
10,L15,1,CRUCERO 10,2007/02/04,2007,FEBRERO,S,0.42
10,L16,1,CRUCERO 10,2007/02/08,2007,FEBRERO,S,3.4
10,L17,1,CRUCERO 10,2007/02/08,2007,FEBRERO,S,3.84
10,L18,1,CRUCERO 10,2007/02/05,2007,FEBRERO,NO,3.78
10,L18N1,1,CRUCERO 10,2007/02/16,2007,FEBRERO,NO,4.366666667
10,L18N2,1,CRUCERO 10,2007/02/05,2007,FEBRERO,NO,5.02
10,L19,1,CRUCERO 10,2007/02/05,2007,FEBRERO,NO,3.7
10,L19N1,1,CRUCERO 10,2007/02/05,2007,FEBRERO,NO,6.18
10,L19N2,1,CRUCERO 10,2007/02/05,2007,FEBRERO,NO,5.84
10,L20,1,CRUCERO 10,2007/02/05,2007,FEBRERO,NO,5.78
10,L21,1,CRUCERO 10,2007/02/08,2007,FEBRERO,S,5.76
10,L21N1,1,CRUCERO 10,2007/02/08,2007,FEBRERO,S,4.94
10,L22,1,CRUCERO 10,2007/02/08,2007,FEBRERO,SO,4.4
10,L23,1,CRUCERO 10,2007/02/07,2007,FEBRERO,SO,4.8
10,L24,1,CRUCERO 10,2007/02/07,2007,FEBRERO,SO,3.64
10,L25,1,CRUCERO 10,2007/02/08,2007,FEBRERO,S,2.04
11,A01,1,CRUCERO 10,2007/02/16,2007,FEBRERO,NO,1.07
11,A02,1,CRUCERO 10,2007/02/16,2007,FEBRERO,NO,2.45
11,A04,1,CRUCERO 10,2007/02/16,2007,FEBRERO,NO,1.38
11,A05,1,CRUCERO 10,2007/02/17,2007,FEBRERO,O,1.3
11,A06,1,CRUCERO 10,2007/02/18,2007,FEBRERO,N,0.81
11,A07,1,CRUCERO 10,2007/02/18,2007,FEBRERO,N,1.23
11,A08,1,CRUCERO 10,2007/02/18,2007,FEBRERO,CALMA,
11,A09,1,CRUCERO 10,2007/02/19,2007,FEBRERO,CALMA,
11,A10,1,CRUCERO 10,2007/02/18,2007,FEBRERO,NO,5.92
11,A11,1,CRUCERO 10,2007/02/19,2007,FEBRERO,SE,3.61
11,A12,1,CRUCERO 10,2007/02/19,2007,FEBRERO,SE,2.26
11,A13,1,CRUCERO 10,2007/02/19,2007,FEBRERO,O,5.3
11,A14,1,CRUCERO 10,2007/02/19,2007,FEBRERO,O,4.43
11,A15,1,CRUCERO 10,2007/02/19,2007,FEBRERO,CALMA,
11,A16,1,CRUCERO 10,2007/02/20,2007,FEBRERO,CALMA,
11,A17,1,CRUCERO 10,2007/02/20,2007,FEBRERO,SE,1.08
11,A18,1,CRUCERO 10,2007/02/22,2007,FEBRERO,N,0.66
11,A19,1,CRUCERO 10,2007/02/20,2007,FEBRERO,SE,2.29
11,A20,1,CRUCERO 10,2007/02/20,2007,FEBRERO,S,2.76
11,A21,1,CRUCERO 10,2007/02/20,2007,FEBRERO,CALMA,
11,A22,1,CRUCERO 10,2007/02/21,2007,FEBRERO,O,0.39
11,A23,1,CRUCERO 10,2007/02/21,2007,FEBRERO,O,1.43
11,A24,1,CRUCERO 10,2007/02/26,2007,FEBRERO,N,3.99
11,A25,1,CRUCERO 10,2007/02/26,2007,FEBRERO,N,2.17
11,A26,1,CRUCERO 10,2007/02/24,2007,FEBRERO,N,4.09
11,A27,1,CRUCERO 10,2007/02/23,2007,FEBRERO,N,7.66
