C_REGION,ESTACIONID,PROGRAMA,CRUCERO,FCH_CRUC,AÑO,MES,RECURSO,VDM,COD_VDM
11,A48,1,CRUCERO 10,2012/05/04,2012,MAYO,Cholga,-,NEGATIVO
11,A48N1,1,CRUCERO 10,2012/05/04,2012,MAYO,Chorito,-,NEGATIVO
11,A49,1,CRUCERO 10,2012/05/04,2012,MAYO,Chorito,-,NEGATIVO
11,A49N1,1,CRUCERO 10,2012/05/06,2012,MAYO,Sin Recurso,#N/A,#N/A
11,A50,1,CRUCERO 10,2012/05/06,2012,MAYO,Cholga,+,POSITIVO
11,A50N1,1,CRUCERO 10,2012/05/05,2012,MAYO,Sin Recurso,#N/A,#N/A
11,A51,1,CRUCERO 10,2012/05/06,2012,MAYO,Cholga,-,NEGATIVO
11,A52,1,CRUCERO 10,2012/05/05,2012,MAYO,Cholga,+,POSITIVO
11,A53,1,CRUCERO 10,2012/05/05,2012,MAYO,Cholga,+,POSITIVO
11,A54,1,CRUCERO 10,2012/05/02,2012,MAYO,Cholga,-,NEGATIVO
11,A55,1,CRUCERO 10,2012/05/02,2012,MAYO,Cholga,-,NEGATIVO
11,A56,1,CRUCERO 10,2012/05/02,2012,MAYO,Cholga,-,NEGATIVO
11,A57,1,CRUCERO 10,2012/05/02,2012,MAYO,Cholga,-,NEGATIVO
11,A58,1,CRUCERO 10,2012/05/02,2012,MAYO,Cholga,-,NEGATIVO
11,A59,1,CRUCERO 10,2012/05/02,2012,MAYO,Cholga,-,NEGATIVO
11,A60,1,CRUCERO 10,2012/05/02,2012,MAYO,Cholga,-,NEGATIVO
11,A62,1,CRUCERO 10,2012/04/14,2012,ABRIL,Sin Recurso,#N/A,#N/A
12,M04,1,CRUCERO 10,2012/04/14,2012,ABRIL,Cholga,-,NEGATIVO
12,M05,1,CRUCERO 10,2012/04/14,2012,ABRIL,Cholga,+,POSITIVO
12,M06,1,CRUCERO 10,2012/04/14,2012,ABRIL,Cholga,-,NEGATIVO
12,M01N,1,CRUCERO 10,2012/04/13,2012,ABRIL,Cholga,-,NEGATIVO
12,M02N,1,CRUCERO 10,2012/04/14,2012,ABRIL,Cholga,-,NEGATIVO
12,M03N,1,CRUCERO 10,2012/04/13,2012,ABRIL,Cholga,-,NEGATIVO
12,M07,1,CRUCERO 10,2012/04/13,2012,ABRIL,Cholga,-,NEGATIVO
12,M24N,1,CRUCERO 10,2012/04/15,2012,ABRIL,Cholga,-,NEGATIVO
12,M08,1,CRUCERO 10,2012/04/13,2012,ABRIL,Cholga,-,NEGATIVO
12,M25N,1,CRUCERO 10,2012/04/13,2012,ABRIL,Cholga,-,NEGATIVO
12,M09,1,CRUCERO 10,2012/04/13,2012,ABRIL,Cholga,-,NEGATIVO
12,M10,1,CRUCERO 10,2012/04/12,2012,ABRIL,Cholga,-,NEGATIVO
12,M11,1,CRUCERO 10,2012/04/12,2012,ABRIL,Cholga,-,NEGATIVO
12,M12,1,CRUCERO 10,2012/04/12,2012,ABRIL,Cholga,-,NEGATIVO
12,M13,1,CRUCERO 10,2012/04/12,2012,ABRIL,Cholga,-,NEGATIVO
12,M14,1,CRUCERO 10,2012/04/16,2012,ABRIL,Cholga,-,NEGATIVO
12,M15,1,CRUCERO 10,2012/04/16,2012,ABRIL,Cholga,-,NEGATIVO
12,M16,1,CRUCERO 10,2012/04/16,2012,ABRIL,Cholga,-,NEGATIVO
12,M16N1,1,CRUCERO 10,2012/04/17,2012,ABRIL,Cholga,#N/A,SIN MUESTRA
12,M17,1,CRUCERO 10,2012/04/17,2012,ABRIL,Cholga,-,NEGATIVO
12,M18,1,CRUCERO 10,2012/04/17,2012,ABRIL,Cholga,-,NEGATIVO
12,M19,1,CRUCERO 10,2012/04/17,2012,ABRIL,Cholga,-,NEGATIVO
12,M20,1,CRUCERO 10,2012/04/17,2012,ABRIL,Cholga,-,NEGATIVO
12,M21,1,CRUCERO 10,2012/04/17,2012,ABRIL,Cholga,-,NEGATIVO
12,M22,1,CRUCERO 10,2012/04/18,2012,ABRIL,Cholga,-,NEGATIVO
12,M23,1,CRUCERO 10,2012/04/02,2012,ABRIL,Cholga,+,POSITIVO
12,M24,1,CRUCERO 10,2012/04/02,2012,ABRIL,Chorito,-,NEGATIVO
12,M25,1,CRUCERO 10,2012/04/02,2012,ABRIL,Chorito,-,NEGATIVO
12,M26,1,CRUCERO 10,2012/04/02,2012,ABRIL,Chorito,+,POSITIVO
12,M27,1,CRUCERO 10,2012/04/02,2012,ABRIL,Chorito,+,POSITIVO
12,M28,1,CRUCERO 10,2012/04/01,2012,ABRIL,Chorito,+,POSITIVO
12,M29,1,CRUCERO 10,2012/04/02,2012,ABRIL,Chorito,+,POSITIVO
12,M29N1,1,CRUCERO 10,2012/04/01,2012,ABRIL,Chorito,-,NEGATIVO
12,M30,1,CRUCERO 10,2012/04/01,2012,ABRIL,Chorito,+,POSITIVO
12,M31,1,CRUCERO 10,2012/04/03,2012,ABRIL,Chorito,-,NEGATIVO
12,M32,1,CRUCERO 10,2012/04/01,2012,ABRIL,Chorito,-,NEGATIVO
12,M33,1,CRUCERO 10,2012/04/01,2012,ABRIL,Chorito,-,NEGATIVO
12,M34,1,CRUCERO 10,2012/03/31,2012,MARZO,Chorito,-,NEGATIVO
12,M34N1,1,CRUCERO 10,2012/04/03,2012,ABRIL,Chorito,+,POSITIVO
12,M35,1,CRUCERO 10,2012/04/17,2012,ABRIL,Chorito,-,NEGATIVO
12,M36,1,CRUCERO 10,2012/04/17,2012,ABRIL,Chorito,-,NEGATIVO
12,M37,1,CRUCERO 10,2012/04/21,2012,ABRIL,Chorito,-,NEGATIVO
12,M38,1,CRUCERO 10,2012/04/21,2012,ABRIL,Chorito,+,POSITIVO
12,M39,1,CRUCERO 10,2012/04/04,2012,ABRIL,Chorito,+,POSITIVO
12,M39C1,1,CRUCERO 10,2012/04/04,2012,ABRIL,Chorito,-,NEGATIVO
12,M39N1,1,CRUCERO 10,2012/03/31,2012,MARZO,Chorito,#N/A,SIN MUESTRA
12,M39C3,1,CRUCERO 10,2012/03/30,2012,MARZO,Chorito,-,NEGATIVO
12,M39N2,1,CRUCERO 10,2012/03/31,2012,MARZO,Chorito,-,NEGATIVO
12,M39N3,1,CRUCERO 10,2012/04/10,2012,ABRIL,Chorito,-,NEGATIVO
12,M40,1,CRUCERO 10,2012/04/10,2012,ABRIL,Chorito,-,NEGATIVO
12,M40N1,1,CRUCERO 10,2012/04/10,2012,ABRIL,Chorito,#N/A,SIN MUESTRA
12,M41,1,CRUCERO 10,2012/04/10,2012,ABRIL,Chorito,-,NEGATIVO
12,M42,1,CRUCERO 10,2012/04/12,2012,ABRIL,Chorito,-,NEGATIVO
12,M43,1,CRUCERO 10,2012/04/12,2012,ABRIL,Chorito,-,NEGATIVO
12,M44,1,CRUCERO 10,2012/04/11,2012,ABRIL,Chorito,-,NEGATIVO
12,M44N1,1,CRUCERO 10,2012/04/12,2012,ABRIL,Chorito,#N/A,SIN MUESTRA
12,M45,1,CRUCERO 10,2012/04/08,2012,ABRIL,Chorito,-,NEGATIVO
12,M46,1,CRUCERO 10,2012/04/08,2012,ABRIL,Chorito,-,NEGATIVO
12,M46N1,1,CRUCERO 10,2012/04/08,2012,ABRIL,Chorito,-,NEGATIVO
#N/A,#N/A,#N/A,CRUCERO 10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,CRUCERO 10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,CRUCERO 10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,CRUCERO 10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,L01,1,CRUCERO 10,2012/05/05,2012,MAYO,Cholga,-,NEGATIVO
10,L02,1,CRUCERO 10,2012/05/04,2012,MAYO,Chorito,+,POSITIVO
10,L02N1,1,CRUCERO 10,2012/05/04,2012,MAYO,Chorito,+,POSITIVO
10,L02N2,1,CRUCERO 10,2012/05/03,2012,MAYO,Chorito,+,POSITIVO
10,L02N3,1,CRUCERO 10,2012/05/04,2012,MAYO,Chorito,+,POSITIVO
10,L02N4,1,CRUCERO 10,2012/05/03,2012,MAYO,Chorito,-,NEGATIVO
10,L03,1,CRUCERO 10,2012/04/05,2012,MAYO,Chorito,-,NEGATIVO
10,L03N1,1,CRUCERO 10,2012/05/04,2012,MAYO,Chorito,+ (8),POSITIVO
10,L04,1,CRUCERO 10,2012/05/07,2012,MAYO,Chorito,+,POSITIVO
10,L04N3,1,CRUCERO 10,2012/05/07,2012,MAYO,Choro maltón,-,NEGATIVO
10,L05,1,CRUCERO 10,2012/05/08,2012,MAYO,Chorito,-,NEGATIVO
10,L06,1,CRUCERO 10,2012/05/08,2012,MAYO,Cholga,-,NEGATIVO
