C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,ANNO,MES,ARALEXCATE,ARALEXOSTE,ARALEXTAMA,ARDINOACUM,ARDINOACUT,ARPROTRETI,ARPSEUAUST,ARPSEUPSEU
11,A48,1,CRUCERO 1,,,,2,0,,1,1,0,0,0
11,A49,1,CRUCERO 1,,,,2,0,,1,1,0,1,1
11,A51,1,CRUCERO 1,,,,1,0,,0,1,1,0,0
11,A52,1,CRUCERO 1,,,,1,0,,0,1,0,1,0
11,A53,1,CRUCERO 1,,,,3,0,,1,1,0,1,0
11,A54,1,CRUCERO 1,,,,0,0,,0,1,0,0,0
11,A55,1,CRUCERO 1,2006-05-02,2006,MAYO,0,0,,1,0,0,0,0
11,A56,1,CRUCERO 1,2006-05-02,2006,MAYO,0,0,,1,0,0,0,0
11,A57,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,1,0,0,0,0
11,A58,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,1,0,0,0,0
11,A59,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,1,0,0,0,0
11,A60,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,1,0,0,0,0
12,M04,1,CRUCERO 1,2006-05-09,2006,MAYO,0,0,,0,0,0,2,0
12,M05,1,CRUCERO 1,2006-05-09,2006,MAYO,0,1,,1,0,0,1,0
12,M06,1,CRUCERO 1,2006-05-08,2006,MAYO,0,0,,1,0,0,1,0
12,M01N,1,CRUCERO 1,2006-05-08,2006,MAYO,0,0,,0,1,0,1,0
12,M02N,1,CRUCERO 1,2006-05-08,2006,MAYO,0,0,,1,0,0,0,0
12,M03N,1,CRUCERO 1,2006-05-08,2006,MAYO,0,0,,1,0,0,0,0
12,M07,1,CRUCERO 1,2006-05-08,2006,MAYO,0,0,,1,0,0,0,0
12,M24N,1,CRUCERO 1,2006-05-08,2006,MAYO,0,0,,1,0,0,1,0
12,M08,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,1,0,0,2,0
12,M25N,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,1,0,0,0,0
12,M09,1,CRUCERO 1,2006-05-10,2006,MAYO,0,0,,0,0,0,4,4
12,M10,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,0,0,0,1,1
12,M11,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,1,0,0,5,5
12,M12,1,CRUCERO 1,2006-05-05,2006,MAYO,0,0,,1,1,0,2,0
12,M13,1,CRUCERO 1,2006-05-05,2006,MAYO,0,0,,1,1,0,2,1
12,M14,1,CRUCERO 1,2006-05-04,2006,MAYO,2,0,,1,0,0,2,2
12,M15,1,CRUCERO 1,2006-05-04,2006,MAYO,0,0,,0,0,0,3,0
12,M16,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,0,0
12,M17,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,0,0
12,M18,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,0,0,0,0,0
12,M19,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,0,0,0,0,0
